"cell_id","surface","known_v_type","parameter","n_replicate","n_interval","n_covered","coverage","coverage_mcse","mean_interval_width","interval_width_mcse","n_study","sigma","sampling_sd","measure"
"meta_v_015","meta_v","vector","mu:x",400,400,375,0.9375,0.0121030729568982,0.205346495472857,0.00115879355505115,80,0.25,0.4,"logOR"
"meta_v_015","meta_v","vector","sigma",400,400,391,0.9775,0.00741514497498194,0.31868226447507,0.0109676856494205,80,0.25,0.4,"logOR"
"meta_v_016","meta_v","vector","mu:(Intercept)",400,400,361,0.9025,0.0148318702461962,0.544033635134002,0.00475556273721498,20,0.5,0.4,"logOR"
"meta_v_016","meta_v","vector","mu:x",400,400,367,0.9175,0.0137562485801908,0.565037672778272,0.00696589500457177,20,0.5,0.4,"logOR"
"meta_v_016","meta_v","vector","sigma",400,400,379,0.9475,0.0111516534648455,0.539825772010104,0.0080770493578561,20,0.5,0.4,"logOR"
"meta_v_017","meta_v","vector","mu:(Intercept)",400,400,368,0.92,0.0135646599662505,0.391746779719636,0.00235670567064627,40,0.5,0.4,"logOR"
"meta_v_017","meta_v","vector","mu:x",400,400,372,0.93,0.0127573508221731,0.400860727006549,0.00334419879697066,40,0.5,0.4,"logOR"
"meta_v_017","meta_v","vector","sigma",400,400,376,0.94,0.0118743420870379,0.362284850922702,0.00114518445226736,40,0.5,0.4,"logOR"
"meta_v_018","meta_v","vector","mu:(Intercept)",400,400,372,0.93,0.0127573508221731,0.278669645135383,0.00115984813771408,80,0.5,0.4,"logOR"
"meta_v_018","meta_v","vector","mu:x",400,400,369,0.9225,0.0133691576024819,0.282044993689074,0.00158643053360544,80,0.5,0.4,"logOR"
"meta_v_018","meta_v","vector","sigma",400,400,373,0.9325,0.0125442965127583,0.253753412544228,0.000451092029266933,80,0.5,0.4,"logOR"
"meta_v_004","meta_v","vector","mu:(Intercept)",400,400,369,0.9225,0.0133691576024819,0.247083116009028,0.0021049661899772,20,0.25,0.15,"logIRR"
"meta_v_004","meta_v","vector","mu:x",400,400,367,0.9175,0.0137562485801908,0.256295490517524,0.00305467354184052,20,0.25,0.15,"logIRR"
"meta_v_004","meta_v","vector","sigma",400,400,363,0.9075,0.0144865239101725,0.206380863314581,0.00095258411465128,20,0.25,0.15,"logIRR"
"meta_v_005","meta_v","vector","mu:(Intercept)",400,400,376,0.94,0.0118743420870379,0.178399572814949,0.00106003296952537,40,0.25,0.15,"logIRR"
"meta_v_005","meta_v","vector","mu:x",400,400,368,0.92,0.0135646599662505,0.180873228312187,0.00150181282576903,40,0.25,0.15,"logIRR"
"meta_v_005","meta_v","vector","sigma",400,400,364,0.91,0.0143090880212542,0.147674358094683,0.000531197366034108,40,0.25,0.15,"logIRR"
"meta_v_006","meta_v","vector","mu:(Intercept)",400,400,372,0.93,0.0127573508221731,0.126764802851544,0.000522284071088634,80,0.25,0.15,"logIRR"
"meta_v_006","meta_v","vector","mu:x",400,400,376,0.94,0.0118743420870379,0.128559007428753,0.000764317567106359,80,0.25,0.15,"logIRR"
"meta_v_006","meta_v","vector","sigma",400,400,367,0.9175,0.0137562485801908,0.104763305091179,0.000275655722420705,80,0.25,0.15,"logIRR"
"meta_v_007","meta_v","vector","mu:(Intercept)",400,400,363,0.9075,0.0144865239101725,0.446304129610148,0.00385231810421518,20,0.5,0.15,"logIRR"
"meta_v_007","meta_v","vector","mu:x",400,400,361,0.9025,0.0148318702461962,0.462984672033872,0.00616477618964052,20,0.5,0.15,"logIRR"
"meta_v_007","meta_v","vector","sigma",400,400,355,0.8875,0.0157990308247057,0.322947658817336,0.00233874998802981,20,0.5,0.15,"logIRR"
"meta_v_008","meta_v","vector","mu:(Intercept)",400,400,375,0.9375,0.0121030729568982,0.317704180002358,0.00186393037914626,40,0.5,0.15,"logIRR"
"meta_v_008","meta_v","vector","mu:x",400,400,380,0.95,0.0108972473588517,0.325538281039085,0.00288430003883096,40,0.5,0.15,"logIRR"
"meta_v_008","meta_v","vector","sigma",400,400,363,0.9075,0.0144865239101725,0.232612737145242,0.00119691463556538,40,0.5,0.15,"logIRR"
"meta_v_009","meta_v","vector","mu:(Intercept)",400,400,370,0.925,0.0131695671910659,0.22868487517261,0.000906401381783935,80,0.5,0.15,"logIRR"
"meta_v_009","meta_v","vector","mu:x",400,400,380,0.95,0.0108972473588517,0.230022325584492,0.00130578844870054,80,0.5,0.15,"logIRR"
"meta_v_009","meta_v","vector","sigma",400,400,377,0.9425,0.0116397755562554,0.168058988745957,0.000603789559324042,80,0.5,0.15,"logIRR"
"meta_v_013","meta_v","vector","mu:(Intercept)",400,400,372,0.93,0.0127573508221731,0.329994344050523,0.00259044123481096,20,0.25,0.3,"logIRR"
"meta_v_013","meta_v","vector","mu:x",400,400,374,0.935,0.012326293035621,0.345980459662761,0.00386008023695474,20,0.25,0.3,"logIRR"
"meta_v_013","meta_v","vector","sigma",400,400,374,0.935,0.012326293035621,0.507856382797991,0.0284298565357482,20,0.25,0.3,"logIRR"
"meta_v_014","meta_v","vector","mu:(Intercept)",400,400,377,0.9425,0.0116397755562554,0.235915864558397,0.00137568452291988,40,0.25,0.3,"logIRR"
"meta_v_014","meta_v","vector","mu:x",400,400,370,0.925,0.0131695671910659,0.240840662865968,0.00189364711093542,40,0.25,0.3,"logIRR"
"meta_v_014","meta_v","vector","sigma",400,400,390,0.975,0.007806247497998,0.29787322114476,0.0054287310951419,40,0.25,0.3,"logIRR"
"meta_v_015","meta_v","vector","mu:(Intercept)",400,400,383,0.9575,0.0100863459686846,0.169402744862059,0.000690420819860586,80,0.25,0.3,"logIRR"
"meta_v_015","meta_v","vector","mu:x",400,400,377,0.9425,0.0116397755562554,0.170637350122418,0.000973356569128884,80,0.25,0.3,"logIRR"
"meta_v_015","meta_v","vector","sigma",400,400,389,0.9725,0.00817675822071314,0.19450663451916,0.00142346710468036,80,0.25,0.3,"logIRR"
"meta_v_016","meta_v","vector","mu:(Intercept)",400,400,367,0.9175,0.0137562485801908,0.494809678135094,0.00439516454305165,20,0.5,0.3,"logIRR"
"meta_v_016","meta_v","vector","mu:x",400,400,366,0.915,0.0139440847673843,0.513901684076872,0.00639351329067366,20,0.5,0.3,"logIRR"
"meta_v_016","meta_v","vector","sigma",400,400,351,0.8775,0.0163931197457958,0.42060631510034,0.00548299629237345,20,0.5,0.3,"logIRR"
"meta_v_017","meta_v","vector","mu:(Intercept)",400,400,372,0.93,0.0127573508221731,0.357217011993145,0.00214321355632085,40,0.5,0.3,"logIRR"
"meta_v_017","meta_v","vector","mu:x",400,400,377,0.9425,0.0116397755562554,0.365403666215699,0.00304172995754972,40,0.5,0.3,"logIRR"
"meta_v_017","meta_v","vector","sigma",400,400,367,0.9175,0.0137562485801908,0.295560124808455,0.00108993265633275,40,0.5,0.3,"logIRR"
"meta_v_018","meta_v","vector","mu:(Intercept)",400,400,375,0.9375,0.0121030729568982,0.253953820972641,0.00104029813764055,80,0.5,0.3,"logIRR"
"meta_v_018","meta_v","vector","mu:x",400,400,372,0.93,0.0127573508221731,0.257020295869469,0.0014478810265894,80,0.5,0.3,"logIRR"
"meta_v_018","meta_v","vector","sigma",400,400,375,0.9375,0.0121030729568982,0.209622928513501,0.000561604454963128,80,0.5,0.3,"logIRR"
