"n_tip","n_each","seed","param","truth","est","pd","conv"
300,5,5,"sd_mu1",0.6,0.612891310538588,TRUE,0
300,5,5,"sd_mu2",0.5,0.502516842336875,TRUE,0
300,5,5,"sd_s1",0.4,0.473382486490281,TRUE,0
300,5,5,"sd_s2",0.3,0.301502634956303,TRUE,0
300,5,5,"cor_mu",0.4,0.411748343865811,TRUE,0
300,5,5,"cor_s",0.3,0.379879319008483,TRUE,0
300,5,6,"sd_mu1",0.6,0.528494142621429,TRUE,0
300,5,6,"sd_mu2",0.5,0.451882860922994,TRUE,0
300,5,6,"sd_s1",0.4,0.392337001926041,TRUE,0
300,5,6,"sd_s2",0.3,0.368817828301508,TRUE,0
300,5,6,"cor_mu",0.4,0.615558298860968,TRUE,0
300,5,6,"cor_s",0.3,0.435008530399457,TRUE,0
