"record_type"	"stage"	"fixture"	"engine"	"check"	"coefficient"	"expected"	"observed"	"status"	"detail"	"solver_status"	"solver_objective"	"max_residual"	"ray"	"t"	"direct_objective"	"compiled_objective"	"direct_delta"	"compiled_delta"	"retained_rows"	"design_columns"	"trials_sum"	"active_weight_sum"	"detector_outcome"	"detector_class"	"warnings"	"error"	"record_id"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"sign_positive"	"x"	"feasible"	"feasible"	"PASS"	"solution=(Intercept)=-0.99999999999999989;x=                 1; message=1 | list(c(-1, 1)) | list(c(1, 0, 0, 0, 0, 0, 0, 0, 0)) | list(objfrom = c(0, 0), objtill = c(1e+30, 1e+30)) | list(duals = c(0, 0, 0, 0, 0, 0, 0, 0), dualsfrom = c(-1e+30, -1, -1e+30, -1e+30, -1e+30, 0.25, -1e+30, -1e+30), dualstill = c(1e+30, 1.00000000000101, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30)) | 3 | 0"	"0"	"0"	"0.00000000000000011102230246251565"															"s0a2-0060"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"coefficient_sign_feasibility"	"x"	"negative=FALSE;zero=FALSE;positive=TRUE"	"negative=FALSE;zero=FALSE;positive=TRUE"	"PASS"																			"s0a2-0061"
"detector"	"binomial-core"	"mu_complete_shifted_forced"	"detectseparation"	"separation_class"		"complete"	"complete"	"PASS"															"TRUE"	"complete"			"s0a2-0062"
"detector"	"binomial-core"	"mu_complete_shifted_forced"	"detectseparation"	"coefficient_compatibility"	"(Intercept)"	"feasible_indicator"	"-Inf -> negative"	"PASS"															"TRUE"	"complete"			"s0a2-0063"
"detector"	"binomial-core"	"mu_complete_shifted_forced"	"detectseparation"	"coefficient_compatibility"	"x"	"feasible_indicator"	"Inf -> positive"	"PASS"															"TRUE"	"complete"			"s0a2-0064"
"gate"	"objective-rays"	"mu_complete_shifted_forced"	"drmTMB_compiled"	"parameter_mapping"		"all_true"	"length=TRUE;free_names=TRUE;coefficient_names=TRUE;par_list_values=TRUE"	"PASS"																			"s0a2-0065"
"objective"	"objective-rays"	"mu_complete_shifted_forced"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"shifted_forced"	"0"	"2.7725887222397811"	"2.7725887222397811"	"0"	"0"									"s0a2-0066"
"objective"	"objective-rays"	"mu_complete_shifted_forced"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000000000022204460492503131"	"PASS"					"shifted_forced"	"0.5"	" 1.350980524325718"	"1.3509805243257182"	"-1.4216081979140631"	"-1.4216081979140629"									"s0a2-0067"
"objective"	"objective-rays"	"mu_complete_shifted_forced"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"shifted_forced"	"1"	"0.72369807818392962"	"0.72369807818392984"	"-2.0488906440558514"	"-2.0488906440558514"									"s0a2-0068"
"objective"	"objective-rays"	"mu_complete_shifted_forced"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"shifted_forced"	"2"	"0.25880739236140593"	"0.25880739236140587"	"-2.5137813298783751"	"-2.5137813298783751"									"s0a2-0069"
"objective"	"objective-rays"	"mu_complete_shifted_forced"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"shifted_forced"	"4"	"0.036312144222574928"	"0.036312144222574942"	"-2.7362765780172063"	"-2.7362765780172063"									"s0a2-0070"
"objective"	"objective-rays"	"mu_complete_shifted_forced"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"shifted_forced"	"8"	"0.00067081282129413449"	"0.0006708128212942286"	"-2.7719179094184869"	"-2.7719179094184869"									"s0a2-0071"
"objective"	"objective-rays"	"mu_complete_shifted_forced"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"shifted_forced"	"16"	"0.00000022507033679713592"	"0.00000022507033677435651"	"-2.7725884971694446"	"-2.7725884971694446"									"s0a2-0072"
"gate"	"objective-rays"	"mu_complete_shifted_forced"	"drmTMB_compiled_vs_direct"	"ray_verdict"		"non_worsening_and_strict"	"max_compiled_step=-0.00067058775095745426; max_direct_step=-0.00067058775095733738; compiled_improvement=2.7725884971694446; direct_improvement=2.7725884971694446"	"PASS"					"shifted_forced"														"s0a2-0073"
"gate"	"binomial-core"	"mu_complete_shifted_forced_mirror"	"base_qr"	"design_rank"		"full_rank"	"full_rank"	"PASS"	"rank=2; p=2"										"4"	"2"	"4"	"4"					"s0a2-0074"
"fit"	"binomial-core"	"mu_complete_shifted_forced_mirror"	"drmTMB_ML"	"coefficient"	"(Intercept)"		"70.904688753861024"	"RECORDED"	"convergence=0; message=both X-convergence and relative convergence (5); objective=0.00000000010877396891640679; max_gradient=0.000000000054386986580186095; pdHess=TRUE"										"4"	"2"	"4"	"4"					"s0a2-0075"
"fit"	"binomial-core"	"mu_complete_shifted_forced_mirror"	"drmTMB_ML"	"coefficient"	"x"		"-47.269792493897668"	"RECORDED"	"convergence=0; message=both X-convergence and relative convergence (5); objective=0.00000000010877396891640679; max_gradient=0.000000000054386986580186095; pdHess=TRUE"										"4"	"2"	"4"	"4"					"s0a2-0076"
"fit"	"binomial-core"	"mu_complete_shifted_forced_mirror"	"glm"	"coefficient"	"(Intercept)"		"70.904688753861024"	"RECORDED"	"converged=TRUE; deviance=0.00000000021754864575859341"										"4"	"2"	"4"	"4"			"glm.fit: fitted probabilities numerically 0 or 1 occurred"		"s0a2-0077"
"fit"	"binomial-core"	"mu_complete_shifted_forced_mirror"	"glm"	"coefficient"	"x"		"-47.269792493843283"	"RECORDED"	"converged=TRUE; deviance=0.00000000021754864575859341"										"4"	"2"	"4"	"4"			"glm.fit: fitted probabilities numerically 0 or 1 occurred"		"s0a2-0078"
"fit"	"binomial-core"	"mu_complete_shifted_forced_mirror"	"brglm2_mean_bias_reduction"	"fit"		"object"	"error"	"RETAINED_FAILURE"																		"unused argument (type = \"AS_mean\")"	"s0a2-0079"
"oracle"	"binomial-core"	"mu_complete_shifted_forced_mirror"	"ROI_lpsolve_cone"	"improving_cone"		"feasible"	"feasible"	"PASS"	"solution=(Intercept)=0.25000000000016204;x=             -0.25; B_source=1,2,3,4; E_source=; message=1 | list(c(0.250000000000162, -0.25)) | list(c(1, 0, 0, 0, 0, 0, 0, 0)) | list(objfrom = c(0, 0), objtill = c(1e+30, 1e+30)) | list(duals = c(0, 0, 0, 0, 0, 0, 0), dualsfrom = c(-1e+30, -0.250000000000162, -1e+30, -1e+30, 0, -1e+30, -1e+30), dualstill = c(1e+30, 0.249999999999838, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30)) | 2 | 0"	"0"	"0"	"0"							"4"	"2"							"s0a2-0080"
"oracle"	"binomial-core"	"mu_complete_shifted_forced_mirror"	"ROI_lpsolve_strict_margin"	"separation_class"		"complete"	"complete"	"PASS"	"delta=0.20000000000000007; solution=0.60000000000000009,0,0,0.40000000000000002,0.20000000000000007; message=1 | list(c(0.6, 0, 0, 0.4, 0.2)) | list(c(1, 0, -0.6, -0.4, 0, 0.2, 0, -0.4, -0.4, 0, 0)) | list(objfrom = c(-0.333333333333333, -1e+30, -1e+30, -0.5, 2.22044604925031e-16), objtill = c(3, 0.4, 0.4, 2, 1e+30)) | list(duals = c(0, -0.6, -0.4, 0, 0.2, 0, -0.4, -0.4, 0, 0), dualsfrom = c(-1e+30, -0.5, -0.333333333333333, -1e+30, 4.44089209850063e-16, -1e+30, -2, -1e+30, -1e+30, -1e+30), dualstill = c(1e+30, 0.333333333333333, 0.5, 1e+30, 1e+30, 1e+30, 0.5, 0.5, 1e+30, 1e+30)) | 4 | 0"	"0"	"0.20000000000000007"	"0.00000000000000011102230246251565"															"s0a2-0081"
